Var1	Var2	value
1	V1	1
2	V2	1
3	V3	1
4	V4	1
5	V5	1
6	V6	1
7	V7	0.709302325581395
8	V8	0.715909090909091
9	V9	1
10	V10	1
11	V11	1
12	V12	1
13	V13	1
14	V14	0.988636363636364
15	V15	1
16	V16	1
17	V17	1
18	V18	1
19	V19	1
20	V20	1
21	V21	1
22	V22	1
23	V23	1
24	V24	1
25	V25	1
26	V26	0.988636363636364
27	V27	1
28	V28	1
29	V29	1
30	V30	1
31	V31	1
32	V32	0.977272727272727
33	V33	1
34	V34	1
35	V35	1
36	V36	0.974358974358974
37	V37	1
38	V38	0.988636363636364
39	V39	0.98780487804878
40	V40	0.9625
41	V41	0.987179487179487
42	V42	0.987179487179487
43	V43	0.963414634146341
44	V44	0.986111111111111
45	V45	1
46	V46	1
47	V47	1
48	V48	1
49	V49	1
50	V50	1
51	V51	1
52	V52	1
53	V53	1
54	V54	1
55	V55	1
56	V56	1
57	V57	1
58	V58	1
59	V59	1
60	V60	1
61	V61	1
62	V62	1
63	V63	1
64	V64	1
65	V65	1
66	V66	1
67	V67	1
68	V68	1
69	V69	1
70	V70	1
71	V71	1
72	V72	1
73	V73	1
74	V74	1
75	V75	1
76	V76	1
77	V77	1
78	V78	1
79	V79	1
80	V80	1
81	V81	1
82	V82	1
83	V83	1
84	V84	1
85	V85	1
86	V86	1
87	V87	1
88	V88	1
89	V89	1
90	V90	1
91	V91	1
92	V92	1
93	V93	1
94	V94	1
95	V95	1
96	V96	1
97	V97	1
98	V98	1
99	V99	1
100	V100	1
101	V101	1
102	V102	1
103	V103	1
104	V104	1
105	V105	1
106	V106	1
107	V107	1
108	V108	1
109	V109	1
110	V110	1
111	V111	1
112	V112	1
113	V113	1
114	V114	1
115	V115	1
116	V116	1
117	V117	1
118	V118	1
119	V119	1
120	V120	1
121	V121	1
122	V122	1
123	V123	1
124	V124	1
125	V125	1
126	V126	1
127	V127	1
128	V128	1
129	V129	1
130	V130	1
131	V131	1
132	V132	1
133	V133	1
134	V134	1
135	V135	1
136	V136	1
137	V137	1
138	V138	1
139	V139	1
140	V140	1
141	V141	1
142	V142	1
143	V143	1
144	V144	1
145	V145	1
146	V146	1
147	V147	1
148	V148	1
149	V149	1
