Var1	Var2	value
1	V1	1
2	V1	0.613636363636364
3	V1	0.511363636363636
4	V1	0.556818181818182
5	V1	0.545454545454545
6	V1	0.602272727272727
7	V1	0.581395348837209
8	V1	0.647727272727273
9	V1	0.616279069767442
10	V1	0.625
11	V1	0.602272727272727
12	V1	0.579545454545455
13	V1	0.63953488372093
14	V1	0.568181818181818
15	V1	0.613636363636364
16	V1	0.579545454545455
17	V1	0.522727272727273
18	V1	0.616279069767442
19	V1	0.590909090909091
20	V1	0.556818181818182
21	V1	0.568181818181818
22	V1	0.556818181818182
23	V1	0.602272727272727
24	V1	0.613636363636364
25	V1	0.613636363636364
26	V1	0.693181818181818
27	V1	0.693181818181818
28	V1	0.568181818181818
29	V1	0.556818181818182
30	V1	0.556818181818182
31	V1	0.602272727272727
32	V1	0.545454545454545
33	V1	0.556818181818182
34	V1	0.556818181818182
35	V1	0.564102564102564
36	V1	0.58974358974359
37	V1	0.558139534883721
38	V1	0.625
39	V1	0.682926829268293
40	V1	0.6625
41	V1	0.58974358974359
42	V1	0.474358974358974
43	V1	0.585365853658537
44	V1	0.527777777777778
45	V1	0.613636363636364
46	V1	0.522727272727273
47	V1	0.590909090909091
48	V1	0.534883720930233
49	V1	0.602272727272727
50	V1	0.545454545454545
51	V1	0.477272727272727
52	V1	0.604651162790698
53	V1	0.681818181818182
54	V1	0.662790697674419
55	V1	0.670454545454545
56	V1	0.568181818181818
57	V1	0.704545454545455
58	V1	0.579545454545455
59	V1	0.590909090909091
60	V1	0.522727272727273
61	V1	0.568181818181818
62	V1	0.613636363636364
63	V1	0.636363636363636
64	V1	0.625
65	V1	0.625
66	V1	0.602272727272727
67	V1	0.568181818181818
68	V1	0.545454545454545
69	V1	0.625
70	V1	0.465909090909091
71	V1	0.522727272727273
72	V1	0.602272727272727
73	V1	0.590909090909091
74	V1	0.647727272727273
75	V1	0.674418604651163
76	V1	0.545454545454545
77	V1	0.613636363636364
78	V1	0.613636363636364
79	V1	0.568181818181818
80	V1	0.579545454545455
81	V1	0.613636363636364
82	V1	0.511627906976744
83	V1	0.534090909090909
84	V1	0.556818181818182
85	V1	0.579545454545455
86	V1	0.568181818181818
87	V1	0.613636363636364
88	V1	0.636363636363636
89	V1	0.636363636363636
90	V1	0.625
91	V1	0.670454545454545
92	V1	0.534090909090909
93	V1	0.693181818181818
94	V1	0.602272727272727
95	V1	0.613636363636364
96	V1	0.738636363636364
97	V1	0.625
98	V1	0.651162790697674
99	V1	0.546511627906977
100	V1	0.715909090909091
101	V1	0.511363636363636
102	V1	0.590909090909091
103	V1	0.590909090909091
104	V1	0.545454545454545
105	V1	0.625
106	V1	0.590909090909091
107	V1	0.5
108	V1	0.636363636363636
109	V1	0.659090909090909
110	V1	0.545454545454545
111	V1	0.636363636363636
112	V1	0.545454545454545
113	V1	0.556818181818182
114	V1	0.556818181818182
115	V1	0.522727272727273
116	V1	0.579545454545455
117	V1	0.556818181818182
118	V1	0.625
119	V1	0.681818181818182
120	V1	0.534883720930233
121	V1	0.590909090909091
122	V1	0.613636363636364
123	V1	0.568181818181818
124	V1	0.613636363636364
125	V1	0.636363636363636
126	V1	0.488636363636364
127	V1	0.613636363636364
128	V1	0.613636363636364
129	V1	0.613636363636364
130	V1	0.568181818181818
131	V1	0.613636363636364
132	V1	0.647727272727273
133	V1	0.579545454545455
134	V1	0.613636363636364
135	V1	0.579545454545455
136	V1	0.636363636363636
137	V1	0.602272727272727
138	V1	0.627906976744186
139	V1	0.613636363636364
140	V1	0.681818181818182
141	V1	0.579545454545455
142	V1	0.590909090909091
143	V1	0.647727272727273
144	V1	0.590909090909091
145	V1	0.590909090909091
146	V1	0.545454545454545
147	V1	0.636363636363636
148	V1	0.568181818181818
149	V1	0.545454545454545
1	V2	0.613636363636364
2	V2	1
3	V2	0.534090909090909
4	V2	0.647727272727273
